Team,unique_id,New_Name
Abilene Christian,1,Abilene Christian.gif
AIC,NA,AIC.gif
Air Force,2,Air Force.gif
Akron,3,Akron.gif
Alabama,4,Alabama.gif
Alabama A&M,5,Alabama A&M.gif
Alabama St.,6,Alabama St..gif
Alabama-Huntsville,NA,Alabama-Huntsville.gif
Alaska,NA,Alaska.gif
Alaska Anchorage,NA,Alaska Anchorage.gif
Albany,7,Albany.gif
Alcorn St.,8,Alcorn St..gif
American,9,American.gif
Appalachian St.,10,Appalachian St..gif
Arizona,11,Arizona.gif
Arizona St.,12,Arizona St..gif
Arkansas,13,Arkansas.gif
Arkansas Pine Bluff,15,Arkansas Pine Bluff.gif
Arkansas St.,16,Arkansas St..gif
Army,17,Army.gif
Auburn,18,Auburn.gif
Austin Peay,19,Austin Peay.gif
Ball St.,20,Ball St..gif
Baylor,21,Baylor.gif
Belmont,22,Belmont.gif
Bemidji State,NA,Bemidji State.gif
Bentleu,NA,Bentleu.gif
Bethune Cookman,23,Bethune Cookman.gif
Binghamton,24,Binghamton.gif
Boise St.,26,Boise St..gif
Boston College,27,Boston College.gif
Boston University,28,Boston University.gif
Bowling Green,29,Bowling Green.gif
Bradley,30,Bradley.gif
BYU,36,BYU.gif
Brown,31,Brown.gif
Bryant,32,Bryant.gif
Bucknell,33,Bucknell.gif
Buffalo,34,Buffalo.gif
Butler,35,Butler.gif
Cal Poly,38,Cal Poly.gif
Cal St. Fullerton,40,Cal St. Fullerton.gif
Cal St. Northridge,41,Cal St. Northridge.gif
California,42,California.gif
UC Davis,NA,UC Davis.gif
UC Riverside,NA,UC Riverside.gif
California-Irvine,NA,California-Irvine.gif
Campbell,43,Campbell.gif
Canisius,44,Canisius.gif
Centenary,45,Centenary.gif
Central Arkansas,46,Central Arkansas.gif
Central Connecticut,47,Central Connecticut.gif
UCF,322,UCF.gif
Central Michigan,48,Central Michigan.gif
Charlotte,51,Charlotte.gif
Chattanooga,52,Chattanooga.gif
Chicago St.,53,Chicago St..gif
Cincinnati,54,Cincinnati.gif
Clarkson,NA,Clarkson.gif
Clemson,55,Clemson.gif
Cleveland St.,56,Cleveland St..gif
Coastal Carolina,57,Coastal Carolina.gif
Colgate,58,Colgate.gif
College of Charleston,59,College of Charleston.gif
Colorado,60,Colorado.gif
Colorado College,NA,Colorado College.gif
Colorado St.,61,Colorado St..gif
Columbia,62,Columbia.gif
Coppin St.,64,Coppin St..gif
Cornell,65,Cornell.gif
Creighton,66,Creighton.gif
CSU,NA,CSU.gif
CSU Bakersfield,NA,CSU Bakersfield.gif
Sacramento State,NA,Sacramento State.gif
Arkansas State Indians,NA,Arkansas State Indians.gif
Arkansas Little Rock,14,Arkansas Little Rock.gif
Birmingham-Southern,NA,Birmingham-Southern.gif